SCHL	fod1p	_TYPE_	_FREQ_	p50adj_wagp	p25adj_wagp	p75adj_wagp	mean_grad_degree	mean_grad_degree_all	mean_employed	pct_ts	pct_tsg	dboost	boost	pct_ts_all	pct_tsg_all	gths_mean	gthsftfy_mean	gmajor
Bachelors	Social Science or History Teacher Education	7	1824	45000	33426.94497	61892.56715	0	0	0.960582067	0.002134916	0.026109993			0.002405502	0.025825136	0.714545931	0.757195621	Education
Bachelors	Teacher Education: Multiple Levels	7	1443	40739.08918	30946.28357	52229.60152	0	0	0.967643224	0.001648816	0.020165002			0.001933791	0.020760914	0.692380041	0.700148663	Education
Bachelors	Language and Drama Education	7	2358	43324.797	33426.94497	55000	0	0	0.959777126	0.002812843	0.034401034			0.003372279	0.036204317	0.685699839	0.756950656	Education
Bachelors	Art and Music Education	7	3322	43700	32000	56407.96964	0	0	0.964908003	0.004118805	0.050372932			0.004750395	0.050999575	0.685414451	0.737312766	Education
Bachelors	Miscellaneous Education	7	3497	50000	36103.9975	72207.995	0	0	0.961171994	0.003970269	0.048556332			0.004101423	0.044032304	0.758522684	0.7986607	Education
Bachelors	Nutrition Sciences	7	1021	49095.82543	33426.94497	69000	0	0	0.948189458	0.001425655	0.018980162			0.00159691	0.020748673	0.669917426	0.750077325	Health
Bachelors	Communication Disorders Sciences and Services	7	966	43324.797	32382.35294	60000	0	0	0.96260334	0.00122921	0.016364834			0.001482687	0.019264572	0.644983447	0.734403191	Health
Bachelors	Health and Medical Administrative Services	7	2411	52428.57143	37135.54029	76000	0	0	0.954307379	0.003153947	0.041989417			0.003052717	0.039664005	0.777442265	0.81466937	Health
Bachelors	Health and Medical Preparatory Programs	7	342	52229.60152	33500	85982.85714	0	0	0.938889097	0.000499328	0.006647701			0.000520943	0.006768615	0.660761754	0.754344043	Health
Bachelors	Nursing	7	34073	62914.28571	48276.20237	81788.57143	0	0	0.977761576	0.046371631	0.617359097			0.046953078	0.610062102	0.854674718	0.910065213	Health
Bachelors	Pharmacy and Pharmaceutical Sciences and Administration	7	3289	105000	78000	125828.5714	0	0	0.97184281	0.004116626	0.054805852			0.004024072	0.052284834	0.878494185	0.92426949	Health
Bachelors	Treatment Therapy Professions	7	5254	61630.92979	40739.08918	80000	0	0	0.980094797	0.006728862	0.089583305			0.007228412	0.093918867	0.768442151	0.8333298	Health
Bachelors	Miscellaneous Health Medical Professions	7	8686	53274.19355	38649.90512	73121.44213	0	0	0.965245078	0.011587639	0.15426963			0.012105606	0.157288332	0.757231809	0.822294375	Health
Bachelors	Area Ethnic and Civilization Studies	7	1702	47500	33426.94497	73121.44213	0	0	0.934933215	0.002230953	0.028942335			0.002501413	0.030246394	0.65969577	0.753573733	Humanities and liberal arts
Bachelors	Linguistics and Comparative Language and Literature	7	915	46346.85714	30946.28357	71032.25807	0	0	0.922995505	0.001306014	0.016943024			0.001511447	0.018275993	0.612855365	0.690896813	Humanities and liberal arts
